"Title","Description","Link","Hackathon"
"Unbound Science","Empowering Creators, Respecting Ownership: Our platform is designed to foster a community where creators can share their work, inspire others and be fairly compensated for their contributions to the community","https://ethglobal.b-cdn.net/projects/m6jqh/banner/default.jpg","ETHONLINE 2024"
"Mytradingbot","Players navigate ships, collect gold, and engage in naval combat in a vast oceanic world.","https://ethglobal.b-cdn.net/projects/84j7d/banner/default.jpg","ETHONLINE 2024"
"Block Estate","OnlyCars is a blockchain-based platform that simplifies and secures the EV charging experience by connecting users to a decentralized network of charging stations.","https://ethglobal.b-cdn.net/projects/vo161/banner/default.jpg","ETHONLINE 2024"
"OmniGas","Weather-based Insurance Smart Contract using Chainlink Price Feeds","https://ethglobal.b-cdn.net/projects/wp43s/banner/default.jpg","ETHONLINE 2024"
"AI Content Cop","Level up the game "1in1 Million" to a complete decentralized version into XMTP and Farcaster ecosystem as a frame","https://ethglobal.b-cdn.net/projects/eq7of/banner/default.jpg","ETHONLINE 2024"
"Meme Arena","Decentralized Raffle where half of prize pool is given to a charity","https://ethglobal.b-cdn.net/projects/jqfon/banner/default.jpg","ETHONLINE 2024"
"Ice","Humanized: A cross-chain identity system that prevents Sybil attacks by linking multiple blockchain addresses to one secure identity. Through human-bot verification and task-based scoring, it ensures fair airdrops while preserving privacy. Bridging Web2 & Web3. #Web3 #Blockchain","https://ethglobal.b-cdn.net/projects/sszvy/banner/default.jpg","ETHONLINE 2024"
"Aeith","Legally abiding signatures powered by Web3. A digital signature and verification platform designed to capitalize on Argentina's new digital signature de-regulation while setting a global standard.","https://ethglobal.b-cdn.net/projects/ezkb3/banner/default.jpg","ETHONLINE 2024"
"JackSeal","A Onchain AI which generates Jokes using Galadriel and OpenAI","https://ethglobal.b-cdn.net/projects/j315i/banner/default.jpg","ETHONLINE 2024"
"Grouping","A simple platform game in which you can record your unspoofable scores onchain thanks to Micro Rollups. Play the game and proof you played along with your game inputs and score!","https://ethglobal.b-cdn.net/projects/6ntyp/banner/default.jpg","ETHONLINE 2024"
"MediGuard","Royal is a decentralized prediction dapp where users stake and guess numbers, combining them with ChainLink data feeds, competing for a prize pool based on the closest match to the final combined number.","https://ethglobal.b-cdn.net/projects/r0y8u/banner/default.jpg","ETHONLINE 2024"
"Eccount","A decentralized Web3 freelance platform that connects KYC-verified users, enables cross-chain payments, and features secure messaging, attestation, and reputation systems.","https://ethglobal.b-cdn.net/projects/km9ib/banner/default.jpg","ETHONLINE 2024"
"CGS Metaverse","Stacked is an Micro Rollup based NFT Marketplace which demonstrates an auction based use case for Stackr.","https://ethglobal.b-cdn.net/projects/dnovm/banner/default.jpg","ETHONLINE 2024"
"Frodo AI","ZKBattleships is a web3 game, which makes use of ZKPs using the zknoid sdk.","https://ethglobal.b-cdn.net/projects/3iauh/banner/default.jpg","ETHONLINE 2024"
"DELUSION","A chain-specific AD marketplace revolutionizing Web3 advertising with on-chain performance tracking and targeted campaigns for crypto projects. Maximize your marketing impact in the decentralized world.","https://ethglobal.b-cdn.net/projects/8bpnv/banner/default.jpg","ETHONLINE 2024"
"LitAuction","AI Sentinals: Cosmic Clash is a sci-fi digital card game where players build decks of ships, crew, and events to explore the galaxy and battle opponents. Manage energy crystals, unleash powerful combos, and conquer the cosmos in single-player and PvP modes.","https://ethglobal.b-cdn.net/projects/dehgp/banner/default.jpg","ETHONLINE 2024"
"Pool","ChainFolio is a multichain portfolio manager that tracks and optimizes your ERC20 tokens across chains. Find the best yield, get investment suggestions, and bridge tokens seamlessly with drag-and-drop. Manage everything from one place and maximize your returns effortlessly","https://ethglobal.b-cdn.net/projects/a532h/banner/default.jpg","ETHONLINE 2024"
"Sign up to get the latest news and updates on ETHGlobal","Aethereal is a user-friendly platform that enables you to create stunning AI-generated images and mint them as unique NFTs","https://ethglobal.b-cdn.net/projects/4cev7/banner/default.jpg","ETHONLINE 2024"
"Pool","Trust But Verify Protocol is more secure and reliable way of token transfers, ensured by Mutual Consent!","https://ethglobal.b-cdn.net/projects/5p75u/banner/default.jpg","ETHONLINE 2024"
"Banter","Capture the Prompt: A blockchain-based AI Prompt Market via CTF! Makers create secure AI challenges, Solvers test them for bounties, and Buyers purchase verified prompts. Enhancing AI security, preventing prompt leaks, and mitigating jailbreaking — all powered by NFTs.","https://ethglobal.b-cdn.net/projects/pce0m/banner/default.jpg","ETHONLINE 2024"
"RootWallet","A dashboard for the SSV network validators and a gui for the DKG ceremony","https://ethglobal.b-cdn.net/projects/ionwm/banner/default.jpg","ETHONLINE 2024"
"CreatAIverse","Share verifiable certifications of your devices and provide them when you sell it.","https://ethglobal.b-cdn.net/projects/0u1oc/banner/default.jpg","ETHONLINE 2024"
"Pirates","Novel Defi Solutions on Different Savings, Uncollateralized micro-lending, micro-insurance and DCA investments.","https://ethglobal.b-cdn.net/projects/12gd3/banner/default.jpg","ETHONLINE 2024"
"OnlyCars","Investment portfolios that leverages token bound accounts (ERC6551).","https://ethglobal.b-cdn.net/projects/vvktb/banner/default.jpg","ETHONLINE 2024"
"IDVerified Staking","Blockchain-Based Content Creation, Curation and Public Sentiment Analysis Platform","https://ethglobal.b-cdn.net/projects/j9r30/banner/default.jpg","ETHONLINE 2024"
"Milionario","Backfills starknet events , transaction ,blocks and a tool to decode starknet transactions to get execution trace & also decodes events and ABI","https://ethglobal.b-cdn.net/projects/bkcp5/banner/default.jpg","ETHONLINE 2024"
"RafflChain","Manga Muchies is a restaurant Dapp where customer gets NFT once they complete 100th order as a loyalty reward.","https://ethglobal.b-cdn.net/projects/cyx0n/banner/default.jpg","ETHONLINE 2024"
"Humanized","DeFi Health Factor Analytical Dashboard & Simulator Calculate and aggregate the global DeFi Health Factor from various lending platforms, and present comprehensive analytics in a single, unified dashboard.","https://ethglobal.b-cdn.net/projects/9rkeu/banner/default.jpg","ETHONLINE 2024"
"Firmar","Allow developers with the assistance of A.I. to scaffold Web3 dApps.","https://ethglobal.b-cdn.net/projects/tf0u5/banner/default.jpg","ETHONLINE 2024"
"Galaugh","CeloP2P is a peer to peer trading platform built to function on mobile devices. Its deployed on the celo chain as well as the Fhenix chain . This is in response to the paucity of secure P2P platforms for exchanging crypto to fiat especially in Nigeria.","https://ethglobal.b-cdn.net/projects/1vp7n/banner/default.jpg","ETHONLINE 2024"
"Kartik Adventures","CeloP2P is a peer to peer trading platform built to function on mobile devices. Its deployed on the celo chain as well as the Fhenix chain . This is in response to the paucity of secure P2P platforms for exchanging crypto to fiat especially in Nigeria.","https://ethglobal.b-cdn.net/projects/1vp7n/banner/default.jpg","ETHONLINE 2024"
"RoyalGame","An image generator application that uses GEN AI to create NFTS...","https://ethglobal.b-cdn.net/projects/pgby4/banner/default.jpg","ETHONLINE 2024"
"Deel Protocol","CryptoGuard is a browser extension that tracks, rates, and flags potentially harmful crypto websites, helping you stay safe and informed in the cryptocurrency space.","https://ethglobal.b-cdn.net/projects/mwj5y/banner/default.jpg","ETHONLINE 2024"
"Stacked","if-agent-then-agent is a tool to create seamless swarmnet flowlets - Create flowlets - a pipeline to setup a multi-agent swarmnet workflow. Create, share and run flowlets easily.","https://ethglobal.b-cdn.net/projects/ii575/banner/default.jpg","ETHONLINE 2024"
"ZKBattleships","A decentralized AI app that extracts tweets via a Chrome extension, analyzes sentiment using AI agents, and generates new tweets in a similar tone.","https://ethglobal.b-cdn.net/projects/myjfn/banner/default.jpg","ETHONLINE 2024"
"EthAds","Decentralized Marketplace for crowd-sourced, AI-agents for anything.","https://ethglobal.b-cdn.net/projects/3p12v/banner/default.jpg","ETHONLINE 2024"
"AI Sentinels","Building a blockchain-based IP management system for Ethereum dev competitions! Register and verify IP rights with NFTs using smart contracts. Built with Solidity and a sleek TypeScript frontend. #Ethereum #Blockchain #NFT #IPmanagement","https://ethglobal.b-cdn.net/projects/6y3d4/banner/default.jpg","ETHONLINE 2024"
"ChainFolio","iOS wallet app to demo auth with Web3Auth. The user can check their balance and NFT.","https://ethglobal.b-cdn.net/projects/jdhqc/banner/default.jpg","ETHONLINE 2024"
"Aethereal","A Job portal that stores candidate reputation on chain pertaining to a job profile for quicker scan for match by the employer.","https://ethglobal.b-cdn.net/projects/qo27p/banner/default.jpg","ETHONLINE 2024"
"TBV Protocol","Mutuum is a collaterized lending platform built on a private Application Chain on the Mina Protocol","https://ethglobal.b-cdn.net/projects/0xcki/banner/default.jpg","ETHONLINE 2024"
"Capture The Prompt","Cats! Dogs! Funny cards! Play game with memes! Fun time! Win NFTs! Blockchain magic! ERC-6551 Avatar! Big battle of furry friends!","https://ethglobal.b-cdn.net/projects/upda8/banner/default.jpg","ETHONLINE 2024"
"RootValidator","StreamPreds is a browser extension where users can convert any streaming platform into a prediction market.","https://ethglobal.b-cdn.net/projects/d13pd/banner/default.jpg","ETHONLINE 2024"
"VerifyMyDevice","LegacyLock is a decentralized application that allows users to secure and attests important documents using Sign Protocol.","https://ethglobal.b-cdn.net/projects/eau65/banner/default.jpg","ETHONLINE 2024"
"Ajoo Protocol","the NFT Gym Pass: Proof of Sweat, an innovative app that brings fitness to the blockchain. By signing in with a wallet, users can mint a unique gym pass NFT that records their workout dedication. This NFT serves as a digital membership card","https://ethglobal.b-cdn.net/projects/6u9sj/banner/default.jpg","ETHONLINE 2024"
"Seadra","SureBuy is a decentralized verified marketplace where sellers are authorized to list products. Sellers can request attestation from wholesalers, who verify the product's authenticity using Sign Protocol.","https://ethglobal.b-cdn.net/projects/apy1o/banner/default.jpg","ETHONLINE 2024"
"Nexsar","BlindBets is a privacy-first, decentralized betting platform using Nillion’s blind computation to encrypt bets and ensure secure, transparent payouts. Bet on real-world questions like "Will BTC hit $70K?"","https://ethglobal.b-cdn.net/projects/o47o2/banner/default.jpg","ETHONLINE 2024"
"Athena","OnChain is an innovative blockchain project that leverages the XMTP protocol to provide users with real-time cryptocurrency market information and personalized account insights. Our bot serves as a bridge between users and the complex world of cryptocurrencies.","https://ethglobal.b-cdn.net/projects/vt3ve/banner/default.jpg","ETHONLINE 2024"
"Manga Munchies","Automated risk management vaults for assets on the superchain","https://ethglobal.b-cdn.net/projects/7fkdr/banner/default.jpg","ETHONLINE 2024"
"Health factor","No-code tool for launch your very own arbitrage flash loan via an automated Go based tool","https://ethglobal.b-cdn.net/projects/hx58a/banner/default.jpg","ETHONLINE 2024"
"WIZAI","an omni-chain chat app to achieve sending message between different chain.","https://ethglobal.b-cdn.net/projects/xx0yp/banner/default.jpg","ETHONLINE 2024"
"CeloP2P","A zk adaptation of the classic Guess Who game, implemented in Mina protocol using ZKnoid (and Protokit).","https://ethglobal.b-cdn.net/projects/p1rv5/banner/default.jpg","ETHONLINE 2024"
"Sign up to get the latest news and updates on ETHGlobal","CrossFlow is a cross-chain DEX powered by Chainlink CCIP, enabling seamless token swaps across different blockchains.","https://ethglobal.b-cdn.net/projects/goucd/banner/default.jpg","ETHONLINE 2024"
"CeloP2P","A smarter way to buy and resell concert tickets 🎫. Enjoy fair access to events through random selection after signing up with a concert code. Use the blockchain to ensure genuine tickets and fair pricing for everyone!","https://ethglobal.b-cdn.net/projects/y6nir/banner/default.jpg","ETHONLINE 2024"
"NFT GEN","Create Event byu sing Messenger-Kit manages attendance , vote on Frames. Users can vote with ‘agree’, ‘deny’, or ‘maybe’. Automatic reminders and NFT minting are included.”","https://ethglobal.b-cdn.net/projects/rxhvb/banner/default.jpg","ETHONLINE 2024"
"CryptoGuard","🚀 getFit is revolutionizing the fitness industry onChain, combining AI-driven motivation, personalized workouts, p2p betting and gamified rewards to elevate your fitness journey. 💪","https://ethglobal.b-cdn.net/projects/7kj6t/banner/default.jpg","ETHONLINE 2024"
"if-agent-then-agent","Wagerly is a decentralized betting platform where users create and customize bets with friends or the community. Enjoy open, fair, and transparent betting, with instant payouts and user bets have a 24-hour claim period for added fairness.","https://ethglobal.b-cdn.net/projects/2papr/banner/default.jpg","ETHONLINE 2024"
"EchoFlow","Stealth adress implemetnation using FHE , to securily generate and store wallet on the fhe evm and make confidential transactions between 2 parties","https://ethglobal.b-cdn.net/projects/3karr/banner/default.jpg","ETHONLINE 2024"
"HashMind","We saw a problem in our global economy. Money that you worked hard for, can easily be controlled and regulated and making it hard for you to purchase any form of content.","https://ethglobal.b-cdn.net/projects/ustct/banner/default.jpg","ETHONLINE 2024"
"RicardianIP","💥 Bet on your favorite athlete or team’s casts to go viral with Chiliz Fan Tokens on Warpcast!","https://ethglobal.b-cdn.net/projects/hjikn/banner/default.jpg","ETHONLINE 2024"
"Ethereum Wallet","Site to self-report as a sybil using EthSign attestations. Users can revoke their attestations at any time.","https://ethglobal.b-cdn.net/projects/w9max/banner/default.jpg","ETHONLINE 2024"
"We will call you","Reels-fi is a platform designed for avid reel viewers, offering them the opportunity to place bets on the engagement of reels. If the engagement of a reel increases within a specified time frame, users can earn rewards based on their predictions.","https://ethglobal.b-cdn.net/projects/sk3d3/banner/default.jpg","ETHONLINE 2024"
"Mutuum","ProofProtocol is a platform that securely verifies and attests educational qualifications, certifications, and work experience. ProofProtocol ensures authenticity, transparency, and permanence in credentialing, streamlining the future of education & professional verification.","https://ethglobal.b-cdn.net/projects/h6gs1/banner/default.jpg","ETHONLINE 2024"
"Cats Dogs Memes","A decentralized Taxi service built completely on Web3 platforms.","https://ethglobal.b-cdn.net/projects/j27ig/banner/default.jpg","ETHONLINE 2024"
"StreamPreds","A decentralized Taxi service built completely on Web3 platforms.","https://ethglobal.b-cdn.net/projects/j27ig/banner/default.jpg","ETHONLINE 2024"
"LegacyLock","Own Your Predictions on a mostly-decentralized platform for community-sponsored prediction games, incentivizing creation of fun for everyone.","https://ethglobal.b-cdn.net/projects/2t1c1/banner/default.jpg","ETHONLINE 2024"
"NFT GYM PASS","Its a privacy-preserving decentralized payroll solution for enterprise and freelancers.","https://ethglobal.b-cdn.net/projects/xtgrz/banner/default.jpg","ETHONLINE 2024"
"SureBuy","A Dex using Frequent Batch Auctions for order settlement. Making onchain markets great again","https://ethglobal.b-cdn.net/projects/44n1m/banner/default.jpg","ETHONLINE 2024"
"Blind Bets","An AI-driven memecoin generator using Galadreil and Sign Protocol. This platform automates the entire memecoin creation process—from generating unique images and crafting viral descriptions to devising marketing strategies","https://ethglobal.b-cdn.net/projects/xtsop/banner/default.jpg","ETHONLINE 2024"
"OnChain.xyz","This Web3 wallet, powered by Layer Zero, provides a seamless multi-chain experience with built-in cross-chain bridging, allowing users to manage assets, view balances, and interact with NFTs across various blockchains.","https://ethglobal.b-cdn.net/projects/0uza9/banner/default.jpg","ETHONLINE 2024"
"TrailMix Loop","This is defi token staking project on Rootstock protocol where user can come stake their erc20 token and earn reward","https://ethglobal.b-cdn.net/projects/az3vu/banner/default.jpg","ETHONLINE 2024"
"ArbitragePal","Unlock the full potential of web3 social with onchain AI. Navigate web3 social, create engaging content, and manage your digital identity—all through intuitive, intent-based interactions. Powered by Galadriel's on-chain AI. Your gateway to a seamless web3 social experience.","https://ethglobal.b-cdn.net/projects/p4sk8/banner/default.jpg","ETHONLINE 2024"
"Xmes","A dApp that manages a crypto portfolio, like an ETF in the web3 context, offering: Expected returns Risk reduction Diversification benefits, it rebalances itself daily by a ML model","https://ethglobal.b-cdn.net/projects/0ae32/banner/default.jpg","ETHONLINE 2024"
"Guessᶻᵏ Who?","Weather Prediction Market powered by Kinto, this project aims to provide a valuable tool for industries sensitive to weather, such as agriculture and energy, by offering a way to hedge against weather- related risks.","https://ethglobal.b-cdn.net/projects/qxw7v/banner/default.jpg","ETHONLINE 2024"
"Cross_Flow","Anzen is an Ai powered platform that provisions you with Ai legal lawyers. They are trained models that act as your lawyers and generate contracts for each any business you want to venture into that needs legal binding.","https://ethglobal.b-cdn.net/projects/iem97/banner/default.jpg","ETHONLINE 2024"
"tick3ts","A decentralized platform where users collaborate to create stories, guided by AI co-authors. AI suggests plot twists, characters, and generates illustrations, bringing narratives to life. Mint completed stories as NFTs, merging creativity with blockchain technology.","https://ethglobal.b-cdn.net/projects/j0twi/banner/default.jpg","ETHONLINE 2024"
"Raid event","ZeroLink is a CrossChain Subscription Payments platform (dApp) designed to streamline recurring payments across multiple blockchains using CCIP & LayerZero","https://ethglobal.b-cdn.net/projects/mspvz/banner/default.jpg","ETHONLINE 2024"
"getFit","DeFi Students to manager and verify students education in a Web3 way","https://ethglobal.b-cdn.net/projects/s4ebc/banner/default.jpg","ETHONLINE 2024"
"Wagerly","HyperHarvest is an innovative cross-chain yield aggregator that maximizes USDC returns across chains . Our platform stands out through its use of private, encrypted yield optimization strategies, providing a unique competitive edge in the DeFi landscape .","https://ethglobal.b-cdn.net/projects/ki43o/banner/default.jpg","ETHONLINE 2024"
"Nocto","INRGrid Stable focuses to build e-Indian National Rupee (e-₹) backed Stablecoin (INRC)","https://ethglobal.b-cdn.net/projects/1t138/banner/default.jpg","ETHONLINE 2024"
"eleutheria","An NFT contract controlled by AI agents embodying Ancient Greek Gods.","https://ethglobal.b-cdn.net/projects/9o2pb/banner/default.jpg","ETHONLINE 2024"
"BANGER!","supeWallet: An AI driven wallet that simplifies Web3 by enabling users to interact with blockchain effortlessly using natural language prompts, making DeFi accessible for everyone.","https://ethglobal.b-cdn.net/projects/4deag/banner/default.jpg","ETHONLINE 2024"
"SybilSelfReport","Infrastructure for teleporting Bitcoin-based assets and collectibles from Bitcoin network to any EVM and viceversa.","https://ethglobal.b-cdn.net/projects/yymt7/banner/default.jpg","ETHONLINE 2024"
"Reels-Fi","A Virtual Mixer that destructs the link between sender and receiver which keeps the transaction private.","https://ethglobal.b-cdn.net/projects/23mbw/banner/default.jpg","ETHONLINE 2024"
"ProofProtocol","A web 3 powered technical documentation with token gated AI","https://ethglobal.b-cdn.net/projects/p2y6s/banner/default.jpg","ETHONLINE 2024"
"ZeroCabs","Tired of juggling endless audit checklists? Born from our pain in MakerDAO Operational Security, AuditTrail brings interactive, on-chain smart contract audits to life. Track every audit with immutable attestations and ensure nothing slips through the cracks.","https://ethglobal.b-cdn.net/projects/d4uxd/banner/default.jpg","ETHONLINE 2024"
"Sign up to get the latest news and updates on ETHGlobal","Our application offers a decentralized and secure way to store documents on the Ethereum Virtual Machine. Using blockchain technology and the Sign Protocol, we ensure that all documents are tamper-proof, authenticated, and protected against unauthorized access.","https://ethglobal.b-cdn.net/projects/9d7wy/banner/default.jpg","ETHONLINE 2024"
"ZeroCabs","FHE Oracle is a fully homomorphic encryption-powered data oracle on Fhenix blockchain. It can compute or fetch any data using Lit Protocol actions and is indexed using Envio HyperIndexer.","https://ethglobal.b-cdn.net/projects/c76v8/banner/default.jpg","ETHONLINE 2024"
"3Dict","A simple (re)staking app with complete functions for use along with guides for new users.","https://ethglobal.b-cdn.net/projects/hz9q2/banner/default.jpg","ETHONLINE 2024"
"Sisan","Our Web3 ticketing app on the Chiliz Chain lets users earn fan tokens and vote on events. The more tokens they have, the more influence they wield, making the platform interactive and fan-driven.","https://ethglobal.b-cdn.net/projects/qc4zi/banner/default.jpg","ETHONLINE 2024"
"Beat-Ex","Mobile application for browsing the ETHGlobal past and present hackathon showcase","https://ethglobal.b-cdn.net/projects/x3wds/banner/default.jpg","ETHONLINE 2024"
"Galadrimeme","AURA-fl is the first practical and safe federated learning platform, revolutionizing data privacy and fairness with zero-knowledge proofs and verified model integrity.","https://ethglobal.b-cdn.net/projects/o36zz/banner/default.jpg","ETHONLINE 2024"
"SignWallet","Verify everything on chain from your profile details to all your assets and games.","https://ethglobal.b-cdn.net/projects/h8kb6/banner/default.jpg","ETHONLINE 2024"
"RootStake","Encode the pixel into the amount of ether being sent. Real-time display of updates based on the scanner.","https://ethglobal.b-cdn.net/projects/jcdem/banner/default.jpg","ETHONLINE 2024"
"OnboardAgent","Omnichain Fungible Tokens utilizing the ERC4626 and LayerZero toolkit","https://ethglobal.b-cdn.net/projects/xxpvb/banner/default.jpg","ETHONLINE 2024"
"Smart Portfolios","At last, a fantasy NFL platform without the fees-Generate your dream lineup with randomized player draws, custom team rules, and securable online contests managed by smart contracts.","https://ethglobal.b-cdn.net/projects/3481k/banner/default.jpg","ETHONLINE 2024"
"StormMarkt","BlueScan is a block explorer that leverages the capability of Natural Language Processing to take blockchain queries, in the form of prompts, and return results in a visual format. Making the data easier to consume for the casual user.","https://ethglobal.b-cdn.net/projects/mynt1/banner/default.jpg","ETHONLINE 2024"
"Anzen","BlueScan is a block explorer that leverages the capability of Natural Language Processing to take blockchain queries, in the form of prompts, and return results in a visual format. Making the data easier to consume for the casual user.","https://ethglobal.b-cdn.net/projects/mynt1/banner/default.jpg","ETHONLINE 2024"
"FableFlow","ModelOpsX - MLOps Pipeline for pedestrian detection using Tableland Basin","https://ethglobal.b-cdn.net/projects/3axen/banner/default.jpg","ETHONLINE 2024"
"ZeroLink","An AI-powered crypto assistant that simplifies staking for beginners. With real-time data feeds, it suggests the best multi-chain staking options based on simple user prompts, making crypto staking accessible and easy to navigate.","https://ethglobal.b-cdn.net/projects/opqku/banner/default.jpg","ETHONLINE 2024"
"Defi Courses","It is a post apocalyptic world and resources are limited. Can you navigate this world safely, and avoid the mutated monsters?","https://ethglobal.b-cdn.net/projects/wcvfs/banner/default.jpg","ETHONLINE 2024"
"HyperHarvest","Community Digital Infrastructure Game is an interactive adventure that educates players on funding and managing public and digital infrastructure using both traditional and blockchain-based methods, exploring concepts like restaking, EigenLayer, and SSV technology.","https://ethglobal.b-cdn.net/projects/k6ska/banner/default.jpg","ETHONLINE 2024"
"INRGrid Stable","A 'blind' dating dapp that uses fhenix to encrpt the users data, and match users based on their hidden preferences before they can choose whether they are interested (tinder style), and then chat on xmtp. Kinto wallet used to verify they arent a catfish.","https://ethglobal.b-cdn.net/projects/ob04t/banner/default.jpg","ETHONLINE 2024"
"Athena's Armory","A cross-border payment platform built on Kinto's Layer 2, enabling businesses to securely send and receive payments across multiple blockchains with real-time KYC checks.","https://ethglobal.b-cdn.net/projects/v53sh/banner/default.jpg","ETHONLINE 2024"
"supeWallet","We use MPC network with a ZK Rollup (Mina Protokit) to control Bitcoin accounts with a truly trust minimized, custody less manner. We integrated Hyperlane bridge to demonstrate how to program the wallets by creating a wallet marketplace smart contract deployed on Linea","https://ethglobal.b-cdn.net/projects/n0mff/banner/default.jpg","ETHGLOBAL SINGAPORE"
"The Ravning Passage","Jilo is a telegram based mini-app designed to help users create, send, and manage invitations for events (like meetings, parties, or conferences) while ensuring a next level confirmation of RSVP's by minting PKP's.","https://ethglobal.b-cdn.net/projects/n2aqe/banner/default.jpg","ETHONLINE 2024"
"Whisper","Job Hiring platform focusing on the projects leaving out discriminatory details like gender, CGPA etc.","https://ethglobal.b-cdn.net/projects/wdhi5/banner/default.jpg","ETHONLINE 2024"
"TeckDoc","Simple USD and USDC payments & USDC balance interest accrual powered by DeFi","https://ethglobal.b-cdn.net/projects/m86se/banner/default.jpg","ETHONLINE 2024"
"AuditTrail","Open frames integrations for daily quizzes and mini-games with XTMP/Morph for Lemon Dapp","https://ethglobal.b-cdn.net/projects/gnath/banner/default.jpg","ETHONLINE 2024"
"DocumentLocker","ZeroPoll is a private voting system powered by zero-knowledge proofs","https://ethglobal.b-cdn.net/projects/285is/banner/default.jpg","ETHONLINE 2024"
"FHE Oracle","Pocket Ramp is a decentralized application (dApp) designed to help users securely lock their funds for a predetermined period. During this lock-up period, users are unable to access their funds, which can only be withdrawn once the specified time has elapsed.","https://ethglobal.b-cdn.net/projects/wzoqw/banner/default.jpg","ETHONLINE 2024"
"StakeEasy","SkillSet unifies everyone's skills on chain. Users can create skill attestations, check the one they or someone else possess, and check what attestations have been emitted by who they trust, allowing to build a network of trust based on skills.","https://ethglobal.b-cdn.net/projects/5hgqf/banner/default.jpg","ETHONLINE 2024"
"Queue","A dapp that allows users to interact with a bot to launch cross chain enabled meme coins created with AI.","https://ethglobal.b-cdn.net/projects/0bz74/banner/default.jpg","ETHONLINE 2024"
"Tik-Eth-Tok","Enhanced CCIP Transporter App allowing aggregation of the assets","https://ethglobal.b-cdn.net/projects/6m8xp/banner/default.jpg","ETHONLINE 2024"
"Aura FL","Build in Public is an APP allowing developers to create recap of the week using Galadriel to summarize what you have build and share it directly on twitter.","https://ethglobal.b-cdn.net/projects/acovh/banner/default.jpg","ETHONLINE 2024"
"Verifiable","ChilizNexus unites sports fans globally by creating Events (ERC721) via Sign Protocol for Event marketplace, with Event Tickets as ERC1155. Earn/use NexusToken(CAP223), showcasing on socials, subscribe for updates, create proposals, stake & farm through Fan Vaults.","https://ethglobal.b-cdn.net/projects/2fqmv/banner/default.jpg","ETHONLINE 2024"
"Nevermind","Crossflow is a omnichain unified payment solution for stable coins.","https://ethglobal.b-cdn.net/projects/ypb07/banner/default.jpg","ETHONLINE 2024"
"ZeroTokens","Step into the world of fair gaming with our blockchain-powered slot machine which is built on top of ZkNoid SDK","https://ethglobal.b-cdn.net/projects/xvp8w/banner/default.jpg","ETHONLINE 2024"
"Chaindraft","Creating pong game using ZkNoid Framework, Pong game is similar to table tennis in 2D format where there are 2 players each have a paddle to stop the ball from going behind their sight.","https://ethglobal.b-cdn.net/projects/gcbtf/banner/default.jpg","ETHONLINE 2024"
"BlueScan","Decentralized travel platform fusing Blockchain, AI, and DeFi. Connect with like-minded explorers, join community adventures, and unlock unique experiences—all while preserving privacy and security. Redefine travel with verifiable journeys.","https://ethglobal.b-cdn.net/projects/hjc91/banner/default.jpg","ETHONLINE 2024"
"Sign up to get the latest news and updates on ETHGlobal","SpellForge is a turn-based, 2-player wizard dueling game where players battle using NFT spells. Defeat your opponent to win Shards, but beware losing means sacrificing a spell from your collection. Use Shards to forge powerful spells and climb the ranks in this strategic showdown","https://ethglobal.b-cdn.net/projects/mxfza/banner/default.jpg","ETHONLINE 2024"
"BlueScan","An immersive metaverse/virtual experience for web3 and web2 users","https://ethglobal.b-cdn.net/projects/xajt9/banner/default.jpg","ETHONLINE 2024"
"ModelOpsX","AN AI DRIVEN SCENARIO BASED CRIME SCENE SIMULATOR GAME TO ENHANCE INVESTIGATIVE SKILLS AND PREPARE LAW INFORCEMENT FOR REAL WORLD CHALLENGES","https://ethglobal.b-cdn.net/projects/4k1wo/banner/default.jpg","ETHONLINE 2024"
"223","Decentralized video captioning protocol using efficient DePIN computation and AI agents","https://ethglobal.b-cdn.net/projects/7zcc2/banner/default.jpg","ETHONLINE 2024"
"untitled-game-01","SprkFest: Web3's ultimate community platform. Create DAOs, host events, and crowdfund with NFTs. Featuring secure on-chain expense tracking, stablecoin integration, and community governance. Now with phygital product twins and subscription models.","https://ethglobal.b-cdn.net/projects/62qnp/banner/default.jpg","ETHONLINE 2024"
"Community Infra Fund","An omnichain application that helps users easily optimize the use of idle funds across different chains, maximizing the utilization of their assets.","https://ethglobal.b-cdn.net/projects/szf49/banner/default.jpg","ETHONLINE 2024"
"Eros","Secure and seamless user onboarding with Lit Protocol. Help onboard your parents into crypto","https://ethglobal.b-cdn.net/projects/ctd1p/banner/default.jpg","ETHONLINE 2024"
"CrossPayX","AO-Database is a project management tool on Ethereum where team members log tasks, issues, and progress. Entries are auto-timestamped for transparency and immutability, ensuring a tamper-proof project timeline.","https://ethglobal.b-cdn.net/projects/vs03p/banner/default.jpg","ETHONLINE 2024"
"Trust Minimized BTC","NFT with ability to hold an encrypted image with the support of FHE technology","https://ethglobal.b-cdn.net/projects/j0qmr/banner/default.jpg","ETHONLINE 2024"
"Jilo","Blockgood makes donating to charities transparent and easy with blockchain. See exactly where your money goes and ensure everything stays honest. it's like charity giving, but with x-ray vision!","https://ethglobal.b-cdn.net/projects/qha9s/banner/default.jpg","ETHONLINE 2024"
"Jobzer-Job Hunt","Blockgood makes donating to charities transparent and easy with blockchain. See exactly where your money goes and ensure everything stays honest. it's like charity giving, but with x-ray vision!","https://ethglobal.b-cdn.net/projects/qha9s/banner/default.jpg","ETHONLINE 2024"
